Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,1289.670044,1332.089966,1281.180054,1306.640015,1194.732056,29733645
2014-01-03,1281.180054,1298.150024,1264.209961,1272.699951,1163.698730,24754073
2014-01-06,1264.209961,1276.939941,1238.760010,1247.250000,1140.428345,6504677
2014-01-07,1247.250000,1247.250000,1213.310059,1213.310059,1109.395264,10430937
2014-01-08,1221.790039,1255.729980,1209.060059,1251.489990,1144.305298,9394007
2014-01-09,1230.280029,1272.699951,1230.280029,1247.250000,1140.428345,12514579
2014-01-10,1251.489990,1323.609985,1251.489990,1319.369995,1206.371704,37463120
2014-01-13,1332.089966,1429.670044,1332.089966,1416.939941,1295.585327,57784136
2014-01-15,1433.910034,1467.849976,1404.209961,1425.420044,1303.338989,60957744
2014-01-16,1433.910034,1455.119995,1404.209961,1429.670044,1307.225098,27008375
2014-01-17,1408.449951,1489.060059,1399.969971,1480.569946,1353.765503,52645924
2014-01-20,1484.819946,1518.750000,1476.329956,1497.540039,1369.282349,40521579
2014-01-21,1510.270020,1569.660034,1501.790039,1544.209961,1411.954956,55318511
2014-01-22,1544.209961,1561.180054,1497.540039,1518.750000,1388.675659,44542834
2014-01-23,1527.239990,1544.209961,1510.270020,1531.479980,1400.315430,27053516
2014-01-24,1506.030029,1535.719971,1493.300049,1506.030029,1377.045166,24406505
2014-01-27,1484.819946,1484.819946,1408.449951,1438.150024,1314.978760,27409688
2014-01-28,1433.910034,1463.599976,1425.420044,1455.119995,1330.495239,15167954
2014-01-29,1463.599976,1514.510010,1463.599976,1510.270020,1380.921997,22448383
2014-01-30,1459.359985,1527.239990,1442.390015,1510.270020,1380.921997,27464610
2014-02-03,1510.270020,1565.420044,1510.270020,1544.209961,1411.954956,40266531
2014-02-04,1518.750000,1535.719971,1489.060059,1518.750000,1388.675659,31232938
2014-02-05,1535.719971,1590.869995,1535.719971,1590.869995,1454.618896,65203286
2014-02-06,1603.599976,1633.300049,1599.359985,1629.060059,1489.538208,45892092
2014-02-07,1646.020020,1658.750000,1616.329956,1624.810059,1485.652100,49135120
2014-02-10,1641.780029,1658.750000,1586.630005,1603.599976,1466.258667,33665680
2014-02-11,1612.089966,1637.540039,1607.839966,1629.060059,1489.538208,37278080
2014-02-12,1641.780029,1650.270020,1620.569946,1624.810059,1485.652100,20631576
2014-02-13,1616.329956,1654.510010,1616.329956,1637.540039,1497.291870,33242093
2014-02-14,1654.510010,1709.660034,1654.510010,1705.420044,1559.358276,79453467
2014-02-17,1722.390015,1887.839966,1722.390015,1875.109985,1714.515015,99568464
2014-02-18,1875.109985,1917.530029,1853.900024,1866.630005,1706.761230,61006891
2014-02-19,1866.630005,1879.349976,1832.689941,1866.630005,1706.761230,33564321
2014-02-20,1853.900024,1866.630005,1828.449951,1849.660034,1691.244629,29089778
2014-02-21,1866.630005,1972.680054,1866.630005,1959.959961,1792.097900,57372334
2014-02-24,1951.469971,1976.930054,1926.020020,1942.989990,1776.581299,30875352
2014-02-25,1955.719971,1981.170044,1934.500000,1951.469971,1784.335083,52177314
2014-02-26,1951.469971,1968.439941,1921.780029,1947.229980,1780.458252,26778195
2014-02-27,1968.439941,2027.829956,1947.229980,2010.869995,1838.647583,40744334
2014-02-28,2027.829956,2027.829956,1985.410034,1985.410034,1815.368286,26980678
2014-03-03,1968.439941,1998.140015,1930.260010,1985.410034,1815.368286,43080078
2014-03-04,1985.410034,2066.020020,1985.410034,2061.770020,1885.188354,42125532
